file name,format,size,url,detected_resolution,channels,category
COVID-1,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-2,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-3,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-4,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-5,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-6,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-7,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-8,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-9,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-10,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-11,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-12,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-13,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-14,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-15,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-16,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-17,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-18,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-19,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-20,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-21,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-22,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-23,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-24,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-25,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-26,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-27,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-28,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-29,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-30,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-31,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-32,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-33,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-34,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-35,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-36,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-37,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-38,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-39,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
COVID-40,PNG,256*256,https://sirm.org/category/senza-categoria/covid-19/,299x299,RGB,COVID
