Image,Orientation,Confidence,Disease
224x224_COVID-1761.png,correct,0.4295811355113983,COVID
224x224_COVID-426.png,correct,0.4396114647388458,COVID
224x224_COVID-2455.png,correct,0.4550207555294037,COVID
224x224_COVID-1802.png,correct,0.471591055393219,COVID
224x224_COVID-2324.png,correct,0.4744541347026825,COVID
224x224_COVID-440.png,correct,0.47608497738838196,COVID
224x224_COVID-1536.png,correct,0.47785353660583496,COVID
224x224_COVID-2283.png,correct,0.48171210289001465,COVID
224x224_COVID-710.png,correct,0.4821597635746002,COVID
224x224_COVID-887.png,correct,0.4822389781475067,COVID
224x224_COVID-1922.png,correct,0.48401907086372375,COVID
224x224_COVID-1409.png,correct,0.48591604828834534,COVID
224x224_COVID-3030.png,correct,0.4892280697822571,COVID
224x224_COVID-117.png,correct,0.49510473012924194,COVID
224x224_COVID-2232.png,correct,0.5012403130531311,COVID
224x224_COVID-2107.png,correct,0.5019820332527161,COVID
224x224_COVID-2710.png,correct,0.5064069032669067,COVID
224x224_COVID-135.png,correct,0.5119614601135254,COVID
224x224_COVID-1258.png,correct,0.5140476226806641,COVID
224x224_COVID-1245.png,correct,0.5153623223304749,COVID
224x224_COVID-521.png,correct,0.5259430408477783,COVID
224x224_COVID-980.png,correct,0.5309420824050903,COVID
224x224_COVID-1086.png,correct,0.5329505205154419,COVID
224x224_COVID-3052.png,correct,0.5343357920646667,COVID
224x224_COVID-2153.png,correct,0.5390700697898865,COVID
224x224_COVID-2280.png,correct,0.5551742315292358,COVID
224x224_COVID-720.png,correct,0.556898832321167,COVID
224x224_COVID-318.png,correct,0.5575608611106873,COVID
224x224_COVID-3201.png,correct,0.5582138299942017,COVID
224x224_COVID-2449.png,correct,0.559363842010498,COVID
224x224_COVID-1436.png,correct,0.5611826777458191,COVID
224x224_COVID-2191.png,correct,0.5617634057998657,COVID
224x224_COVID-604.png,correct,0.5627651810646057,COVID
224x224_COVID-1061.png,correct,0.5630236268043518,COVID
224x224_COVID-332.png,correct,0.566001296043396,COVID
224x224_COVID-1923.png,correct,0.575379490852356,COVID
224x224_COVID-701.png,correct,0.5805479884147644,COVID
224x224_COVID-698.png,correct,0.5810114145278931,COVID
224x224_COVID-605.png,correct,0.5815892219543457,COVID
224x224_COVID-697.png,correct,0.5836646556854248,COVID
224x224_COVID-2184.png,correct,0.5864994525909424,COVID
